txt_ind,txt_sun
batu ginjal,geureugeuseun
dengkul,teku
laktosa,laktosa
penyakit kusta,ᮊᮥᮞ᮪ᮒ
cahaya,ᮎᮠᮚ
pemantik,gérétan
korek api gas,gérétan
baris,gurat
linguistik,linguistik
litium,litium
gada,gegendir
magma,magma
jagung,ᮏᮌᮧᮀ
obat,ᮒᮒᮙ᮪ᮘ
batuan metamorf,batu metamorfosis
kaki seribu,titinggi
mukjizat,mukjizat
molekul,molekul
murung,angluh
masjid,masigit
mesjid,masigit
berlumpur,bolokot
otot,ᮇᮒᮧᮒ᮪
dasi,dasi
tak,sanés
telanjang,ulutud
angka,ᮝᮤᮜᮍᮔ᮪
bilang,ᮝᮤᮜᮍᮔ᮪
lautan,jaladri
samudra,jaladri
sawah,sawah
sawah padi,sawah
lada,pedes
merica,pedes
piknik,mayor
nanas,ᮓᮔᮞ᮪
nenas,ᮓᮔᮞ᮪
ananas,ᮓᮔᮞ᮪
merah jambu,kayas
merah muda,kayas
planit,planét
tumbuh-tumbuhan,ᮕᮨᮕᮨᮜᮊᮔ᮪
bermain,ameng
permainan,ameng
polisi,pulisi
kolam,ᮘᮜᮧᮀ
pangeran,ᮕᮍᮦᮛᮔ᮪
kepulan,peledug
persegi panjang,pasagi burung
terkenal,katelah
masyur,katelah
belah ketupat,beulahat kupat
kumal,kucel
bicara,carios
gunting,ᮌᮥᮔ᮪ᮒᮤᮀ
kalajengking,ᮊᮜ
garuk,garo
kantong pelir,ᮊᮔ᮪ᮏᮥᮒ᮪
musim,usum
detik,ᮓᮨᮒᮤᮊ᮪
sekon,ᮓᮨᮒᮤᮊ᮪
batuan sedimen,batu tamperan
batuan endapan,batu tamperan
pandang,tingali
saksi,tingali
tonton,tingali
sutra,sutra
ulat sutra,hileud sutra
lagu,kawih
tembang,kawih
lengan baju,leungeun baju
kemalasan,hoream
remas,rames
tikam,tewek
setom,setum
uap,setum
uap air,saab
anak sungai,susukan
belerang,walirang
sulfur,walirang
cerah,lénglang
tabu,pamali
ca,ᮈᮔ᮪ᮒᮦᮂ
poci,ᮒᮦᮊᮧ
teko,ᮒᮦᮊᮧ
poci teh,ᮒᮦᮊᮧ
suhu,ᮞᮥᮠᮥ
ngotot,keukeuh
makasih,hatur nuhun
pengukur suhu,ᮒᮦᮁᮙᮧᮙᮦᮒᮨᮁ
fikir,ngamanah
duri,rucuk
WC,jamban
kamar kecil,jamban
toilet,jamban
segitiga,juru tilu
segi tiga,juru tilu
persegi tiga,juru tilu
keruh,lecek
ubah,robah
dua puluh,likur
tegak,ajeg
lantai atas,tonggoh
air kencing,ᮎᮤᮊᮤᮄᮂ
urine,ᮎᮤᮊᮤᮄᮂ
air kemih,ᮎᮤᮊᮤᮄᮂ
air seni,ᮎᮤᮊᮤᮄᮂ
hampa udara,ᮛᮧᮠᮍᮔ᮪ ᮠᮕ
kecepatan,ᮜᮏᮥ
velositas,ᮜᮏᮥ
kata kerja,kecap pagawean
pinggang,angkeng
mencuci,kumbah
kerbau,munding
selamat datang,wilujeng sumping
selamat pagi,wilujeng sumping
selamat siang,wilujeng sumping
ke mana,timanten
rahim,ᮕᮤᮃᮔᮊᮔ᮪
air terjun,curug
sejarah,sajarah
pH,pH
macan dahan,macan dahan
Amsterdam,Amsterdam
Asia Selatan,Asia Kidul
Asia Tenggara,Asia Tenggara
Hijrah,Hijrah
Laos,Laos
Mongolia Dalam,Mongolia Jero
Timur Tengah,Wétan Tengah
Advanced Technology Attachment,Advanced Technology Attachment
Singapura,Singapura
Yokohama,Yokohama
asam asetat,asam asétat
asam cuka,asam asétat
asam etanoat,asam asétat
asetil hidroksida,asam asétat
asam metanakarboksilat,asam asétat
asam amino,asam amino
asam dokosaheksaenoat,"asam (4Z,7Z,10Z,13Z,16Z,19Z)-dokosahéksaénoat"
asam deoksiribonukleat,asam déoksiribonukléat
asam semut,asam aminat
asam format,asam aminat
oksometanol,asam aminat
hidroksimetana,asam aminat
asam formilat,asam aminat
asam oksokarbinat,asam aminat
asam metakarbonoat,asam aminat
hidroksimetanon,asam aminat
asam formiat,asam aminat
asam aminat,asam aminat
asam hidrogen karboksilat,asam aminat
asam metanoat,asam aminat
asam laktat,asam susu
asam susu,asam susu
asam 2-hidroksipropanoat,asam susu
pengacara,prokol
aerogel,aérojél
cakram Blu-ray,cakram Blu-ray
medan magnet,médan magnétik
muatan listrik partikel,muatan listrik partikel
derajat Celsius,darajat Celsius
kepadatan,kapadetan populasi
karbon dioksida,karbon dioksida
zat asam arang,karbon dioksida
serat optik,serat optik
fisi nuklir,fisi nuklir
fusi nuklir,fusi nuklir
gorila,gorilla
golongan tabel periodik,golongan tabél periodik
golongan darah,golongan getih
igloo,igloo
kilometer persegi,kilométer pasagi
letnan kolonel,létnan Kolonél
Alzheimer,panyakit Alzheimer
mikrobiologi,mikrobiologi
monosakarida,monosakarida
karbon monoksida,karbon monoksida
muharram,muharom
meter,méter
meter persegi,méter pasagi
metamorf,métamorfosis
titik G,G-Spot
proton,proton
Jazirah Arab,Semenanjung Arab
vodka,vodka
Epilepsi,Épilépsi
pompa,kompa
sensor,sénsor
Ukraina,Ukraina
sepeda motor,motor
etika,étika
Bilangan bulat,Integer
senyawa organik,sanyawa organik
onta,onta
unta,onta
Albania,Albania
Aljazair,Aljazair
Paskah,Paskah
geologi,géologi
hidrologi,hidrologi
bahasa asing,basa kosta
senin,senén
Senin,senén
kura-kura,kuya
penyu,kuya
Allah,Alloh
Al-Qur'an,Qur'an
Dagestan,Dagéstan
Eritrea,Eritrea
Eropa,Éropa
Yesus,Yesus
Kuwait,Kuwait
Paris,Paris
Saturnus,Saturnus
Senegal,Senegal
Togo,Togo
Uganda,Uganda
Venezuela,Vénézuéla
Venus,Vénus
KamusWiki,Wiktionary
Wiktionary,Wiktionary
perselingkuhan,jinah
alfabet,alpabét
aliterasi,purwakanti
aluminium,aluminium
anemia,anémia
antonim,antonim
lawan kata,antonim
asma,asma
falak,astronomi
astronomi,astronomi
ilmu bintang,astronomi
astrologi,astrologi
sepeda,sapédah
biologi,biologi
kupukupu,kukupu
kafeina,kaféin
kondensator,kapasitor
bahasa Cebuano,Cebuano
sensus,sénsus
anak kunci,sosi
kota,kota
tabung,silinder
kloaka,kloaka
kalsium,kalsium
kanker,kangker
buta warna,lolong warna
diabetes,diabétes
elektron,éléktron
spermatozoid,spermatozoon
spesies,spésiés
evolusi,évolusi
falsafah,filsafat
filsafat,filsafat
frekuensi,frékuénsi
fulerena,fullerin
fungsi,fungsi
galaksi,galaksi
genetika,genetika
geografi,géografi
glukosa,glukosa
cengkerik,jangkrik
hemofilia,hémofilia
horison,sisi langit
kaki langit,sisi langit
hormon,hormon
yen,yén
yodium,iodin
isotop,isotop
lantanum,lanthanum
sel darah putih,sél getih bodas
singa,singa
liter,léter
belalang sentadu,congcorang
pensil,patlot
potlot,patlot
kera,monyét
monyet,monyét
kapak,kampak
makromolekul,makromolekul
bahasa Melayu,Malayu
massa,massa
median,median
kedokteran,tatamba
menopause,ménopause
meja,méja
mikrofon,mikropon
mikroskop,mikroskop
nanoteknologi,nanotéhnologi
kertas,kertas
segi lima,juru lima
pestisida,péstisida
politik,pulitik
persegi,pasagi bener
sukrosa,sukrosa
haus,hanaang
sari buah,sari bungbuahan
tembakau,bako
tiamina,tiamin
transistor,transistor
Tetun,Tetum
vektor,véktor
tulang punggung,vertebra
zoroastrianisme,zoroastrianisme
sel telur,ovum
organ,organ
Australia,Australia
Baku,Baku
Yerusalem,Yerusalem
Krimea,Krimea
Filipina,Pilipina
Skotlandia,Skotlandia
bis,beus
bus,beus
advokat,advokat
aikido,aikido
anus,bool
dubur,bool
lubang bokong,bool
ayatullah,Ayatollah
balet,balet
bank,bank
agama Buddha,agama Buddha
kalung,kangkalung
manik-manik,kangkalung
merjan,kangkalung
timur,wétan
kedelapan,kadalapan
masa,waktu
waktu,waktu
gas,gas
harian,koran
koran,koran
surat kabar,koran
gravitasi,gravitasi
demokrasi,demokrasi
dialek,dialék
barat,kulon
mahkota,makuta
korupsi,basilat
wijen,wijen
lift,lift
magnet,magnét
malaria,malaria
mineral,mineral
keping,duit logam
kepingan,duit logam
koin,duit logam
uang logam,duit logam
jembatan,rawayan
cangkul,pacul
semut,sireum
sabun,sabun
madu,madu
batu nisan,paésan
salat,solat
nikotina,nikotin
ketimun,bonténg
mentimun,bonténg
sebelas,sabeulas
ozon,ozon
ejaan,ortografi
jajar genjang,pasagi doyong
pertama,kahiji
pantai,basisir
letkol,létnan kolonél
kelima,kalima
jumat,jumaah
hari Jumat,jumaah
yumat,jumaah
raket,rékét
saksofon,saksofon
perak,pérak
siamang,siamang
sintaksis,sintaksis
kamus,kamus
gelas,kaca
kaca,kaca
ratus,saratus
seratus,saratus
capung,papatong
ketiga,katilu
ribu,sarebu
seribu,sarebu
setrika,istrikaan
filologi,filologi
piano,piano
fotografi,fotografi
kromosom,kromosom
selulosa,selulosa
kamis,kemis
hari Kamis,kemis
bawang merah,bawang beureum
catur,catur
elektrolisis,éléktrolisis
selatan,kidul
apel,apel
saga,saga
aur,awi
bambu,awi
buluh,awi
koronavirus,koronavirus
